time, leader_x, leader_y, follower_x, follower_y
0,-0.30999718038883245,3.0020432244027312e-09,-0.73783527313902,-0.05952497568554054
32,-0.3099897164572186,-1.0000583276110034e-07,-0.7377644938487095,-0.05923670138577653
64,-0.3099671421225778,-4.868071910977755e-06,-0.7376786252528248,-0.05887408751572759
96,-0.3099628581126906,-8.707942267970377e-06,-0.7376480758970986,-0.05877184070599955
128,-0.3099627895514103,-1.1787834238881306e-05,-0.7376316217903627,-0.058720054102961224
160,-0.3099643228200938,-1.4256940658721702e-05,-0.7376192909410596,-0.05868175249865985
192,-0.3099664415615763,-1.6235530935143306e-05,-0.7376096914700562,-0.05865211358733193
224,-0.309968663181176,-1.782058134574885e-05,-0.7376021652925984,-0.05862898299917308
256,-0.30997076220319464,-1.909013608454742e-05,-0.7375962443867428,-0.05861085727475125
288,-0.30997264451604356,-2.0106886834742368e-05,-0.7375915759154114,-0.058596615268019486
320,-0.3099742826466827,-2.0921129345161296e-05,-0.7375878892352165,-0.058585404010318885
352,-0.30997568172034123,-2.157318330452222e-05,-0.7375849746825519,-0.05857656704216325
384,-0.3099768616117787,-2.2095353980484808e-05,-0.737582668691823,-0.05856959493726294
416,-0.30997784794927213,-2.251352190761329e-05,-0.7375808430871136,-0.058564090275910925
448,-0.30997866707425514,-2.2848412986708625e-05,-0.7375793971090067,-0.058559741853684406
480,-0.30997934394114013,-2.3116625462941537e-05,-0.7375782513783358,-0.05855630535363655
512,-0.30997990113091156,-2.333145132469149e-05,-0.7375256076607293,-0.058358091243610966
544,-0.3099803583591071,-2.3503533231714306e-05,-0.7374420657189201,-0.05809239362285487
576,-0.30998073258873876,-2.364139240068473e-05,-0.7373315943188193,-0.05780671474258095
608,-0.3099810382404265,-2.375185216482587e-05,-0.7372025260517998,-0.05753143642032234
640,-0.3099812874378859,-2.38403756077086e-05,-0.736108039969739,-0.05554651447306686
672,-0.30998149026677013,-2.39113365684839e-05,-0.7356554175506654,-0.05478116725718886
704,-0.30998165513387677,-2.3968236914857793e-05,-0.7356056253014398,-0.054709196926732484
736,-0.30998178896258516,-2.401388017682845e-05,-0.7356020466600828,-0.05471381047677439
768,-0.3099818974773448,-2.405051114609751e-05,-0.7356002340946798,-0.05471913273349364
800,-0.3099819853409344,-2.4079926900443434e-05,-0.7355988736371107,-0.05472345464570418
832,-0.3099820564107677,-2.4103566211883683e-05,-0.7355977388677665,-0.05472678300815545
864,-0.3099821138197062,-2.4122580964184052e-05,-0.7355967088275656,-0.05472922229283614
896,-0.30998216011636154,-2.413789322720609e-05,-0.7355957923777283,-0.0547309930299187
928,-0.30998219740996963,-2.4150241424587527e-05,-0.7355950762862872,-0.0547324095110864
